household_income_2021,age,finance_400_emergency,financial_stability,financial_capacity,income
"$15,000 to $24,999",30.0,No,Fluctuating,2 – I can afford only some of these items,16189.0
"$50,000 to $74,999",67.0,Yes,Fluctuating,2 – I can afford only some of these items,64678.0
"$25,000 to $34,999",31.0,Yes,Unstable,2 – I can afford only some of these items,32497.0
"Under $15,000",25.0,No,Unstable,1 – I cannot afford these items,3293.0
"$15,000 to $24,999",23.0,Yes,Unstable,2 – I can afford only some of these items,18178.0
"$35,000 to $49,999",39.0,Yes,Unstable,2 – I can afford only some of these items,42606.0
"$15,000 to $24,999",24.0,No,Fluctuating,1 – I cannot afford these items,20193.0
"$15,000 to $24,999",48.0,No,Extremely unstable,1 – I cannot afford these items,24835.0
"$25,000 to $34,999",23.0,No,Stable,2 – I can afford only some of these items,27120.0
"$15,000 to $24,999",25.0,No,Fluctuating,2 – I can afford only some of these items,19993.0
"$15,000 to $24,999",31.0,Yes,Fluctuating,3 – my time fluctuates,17766.0
"$15,000 to $24,999",25.0,No,Unstable,1 – I cannot afford these items,24240.0
"$15,000 to $24,999",35.0,No,Extremely unstable,1 – I cannot afford these items,15518.0
"$35,000 to $49,999",40.0,No,Unstable,3 – my time fluctuates,45898.0
"$35,000 to $49,999",25.0,Yes,Fluctuating,2 – I can afford only some of these items,41274.0
"$35,000 to $49,999",34.0,No,Extremely unstable,1 – I cannot afford these items,37589.0
"$15,000 to $24,999",26.0,No,Extremely unstable,2 – I can afford only some of these items,17046.0
"Under $15,000",54.0,No,Extremely unstable,1 – I cannot afford these items,10460.0
"Under $15,000",21.0,No,Unstable,2 – I can afford only some of these items,2549.0
"Under $15,000",27.0,No,Extremely unstable,1 – I cannot afford these items,10127.0
"Under $15,000",30.0,No,Extremely unstable,1 – I cannot afford these items,10726.0
"$15,000 to $24,999",32.0,No,Unstable,3 – my time fluctuates,19733.0
"$15,000 to $24,999",45.0,No,Extremely unstable,2 – I can afford only some of these items,22790.0
"$15,000 to $24,999",34.0,No,Extremely unstable,1 – I cannot afford these items,23006.0
"$15,000 to $24,999",31.0,Yes,Unstable,2 – I can afford only some of these items,23818.0
"Under $15,000",32.0,No,Unstable,2 – I can afford only some of these items,14178.0
"Under $15,000",29.0,Yes,Fluctuating,2 – I can afford only some of these items,4495.0
"Under $15,000",31.0,No,Unstable,1 – I cannot afford these items,5481.0
"Under $15,000",43.0,No,Unstable,1 – I cannot afford these items,14559.0
"Under $15,000",36.0,No,Fluctuating,2 – I can afford only some of these items,8832.0
"$15,000 to $24,999",31.0,No,Extremely unstable,1 – I cannot afford these items,15305.0
"$25,000 to $34,999",50.0,Yes,Fluctuating,3 – my time fluctuates,34683.0
"Under $15,000",59.0,No,Extremely unstable,1 – I cannot afford these items,902.0
"$15,000 to $24,999",41.0,No,Unstable,2 – I can afford only some of these items,22240.0
"Under $15,000",24.0,No,Unstable,3 – my time fluctuates,6576.0
"Under $15,000",34.0,No,Fluctuating,2 – I can afford only some of these items,7145.0
"$35,000 to $49,999",49.0,Yes,Fluctuating,2 – I can afford only some of these items,48601.0
"$15,000 to $24,999",69.0,No,Extremely unstable,1 – I cannot afford these items,20412.0
"$50,000 to $74,999",68.0,No,Unstable,2 – I can afford only some of these items,59048.0
"$25,000 to $34,999",34.0,No,Extremely unstable,1 – I cannot afford these items,33042.0
"Under $15,000",23.0,No,Unstable,2 – I can afford only some of these items,6288.0
"$15,000 to $24,999",23.0,No,Fluctuating,3 – my time fluctuates,18986.0
"$25,000 to $34,999",34.0,No,Unstable,3 – my time fluctuates,26904.0
"$15,000 to $24,999",30.0,No,Unstable,2 – I can afford only some of these items,16986.0
"Under $15,000",21.0,No,Unstable,2 – I can afford only some of these items,1413.0
"$15,000 to $24,999",47.0,Yes,Extremely unstable,2 – I can afford only some of these items,20735.0
"Under $15,000",34.0,Yes,Extremely unstable,2 – I can afford only some of these items,7532.0
"Under $15,000",45.0,No,Unstable,2 – I can afford only some of these items,14952.0
"$15,000 to $24,999",24.0,No,Extremely unstable,1 – I cannot afford these items,17750.0
"Under $15,000",31.0,No,Extremely unstable,1 – I cannot afford these items,2164.0
"$35,000 to $49,999",61.0,Yes,Fluctuating,3 – my time fluctuates,37993.0
"Under $15,000",24.0,No,Unstable,2 – I can afford only some of these items,6286.0
"$15,000 to $24,999",33.0,Yes,Extremely unstable,2 – I can afford only some of these items,19633.0
"$35,000 to $49,999",29.0,Yes,Fluctuating,2 – I can afford only some of these items,44426.0
"Under $15,000",26.0,No,Unstable,2 – I can afford only some of these items,11277.0
"$25,000 to $34,999",34.0,Yes,Fluctuating,2 – I can afford only some of these items,27830.0
"$25,000 to $34,999",29.0,No,Fluctuating,1 – I cannot afford these items,30191.0
"$15,000 to $24,999",50.0,Yes,Fluctuating,2 – I can afford only some of these items,22847.0
"$25,000 to $34,999",31.0,No,Fluctuating,2 – I can afford only some of these items,26332.0
"$35,000 to $49,999",38.0,Yes,Fluctuating,2 – I can afford only some of these items,47082.0
"$15,000 to $24,999",32.0,No,Unstable,1 – I cannot afford these items,16378.0
"$50,000 to $74,999",22.0,No,Fluctuating,2 – I can afford only some of these items,66452.0
"Under $15,000",27.0,No,Extremely unstable,2 – I can afford only some of these items,9289.0
"$15,000 to $24,999",38.0,Yes,Unstable,3 – my time fluctuates,21190.0
"$25,000 to $34,999",33.0,No,Unstable,1 – I cannot afford these items,31146.0
"$25,000 to $34,999",54.0,Yes,Fluctuating,2 – I can afford only some of these items,25738.0
"$25,000 to $34,999",24.0,No,Unstable,1 – I cannot afford these items,27071.0
"$35,000 to $49,999",37.0,Yes,Fluctuating,3 – my time fluctuates,46297.0
"$15,000 to $24,999",21.0,No,Unstable,1 – I cannot afford these items,22086.0
"$25,000 to $34,999",27.0,No,Unstable,2 – I can afford only some of these items,28255.0
"Under $15,000",47.0,No,Unstable,2 – I can afford only some of these items,1580.0
"$15,000 to $24,999",29.0,Yes,Unstable,2 – I can afford only some of these items,21607.0
"$15,000 to $24,999",30.0,Yes,Unstable,2 – I can afford only some of these items,16218.0
"$15,000 to $24,999",21.0,Yes,Stable,2 – I can afford only some of these items,17288.0
"$15,000 to $24,999",30.0,No,Extremely unstable,2 – I can afford only some of these items,21954.0
"$25,000 to $34,999",24.0,Yes,Stable,3 – my time fluctuates,32499.0
"$35,000 to $49,999",27.0,No,Fluctuating,3 – my time fluctuates,47451.0
"$50,000 to $74,999",33.0,No,Fluctuating,2 – I can afford only some of these items,56432.0
"$15,000 to $24,999",69.0,Yes,Unstable,3 – my time fluctuates,24848.0
"Under $15,000",23.0,Yes,Fluctuating,3 – my time fluctuates,2969.0
"$25,000 to $34,999",30.0,Yes,Fluctuating,3 – my time fluctuates,33681.0
"$15,000 to $24,999",39.0,Yes,Fluctuating,2 – I can afford only some of these items,19378.0
"$25,000 to $34,999",26.0,No,Fluctuating,3 – my time fluctuates,34601.0
"$25,000 to $34,999",40.0,Yes,Unstable,2 – I can afford only some of these items,27628.0
"$15,000 to $24,999",33.0,No,Fluctuating,2 – I can afford only some of these items,15878.0
"Under $15,000",38.0,No,Extremely unstable,1 – I cannot afford these items,2190.0
"Under $15,000",28.0,No,Unstable,2 – I can afford only some of these items,10523.0
"Under $15,000",39.0,No,Extremely unstable,1 – I cannot afford these items,345.0
"$15,000 to $24,999",28.0,No,Unstable,2 – I can afford only some of these items,22807.0
"Under $15,000",53.0,No,Unstable,1 – I cannot afford these items,10766.0
"$15,000 to $24,999",32.0,Yes,Stable,3 – my time fluctuates,15277.0
"Under $15,000",31.0,Yes,Fluctuating,2 – I can afford only some of these items,9568.0
"Under $15,000",33.0,Yes,Unstable,1 – I cannot afford these items,3270.0
"$15,000 to $24,999",52.0,No,Extremely unstable,3 – my time fluctuates,23711.0
"$15,000 to $24,999",48.0,No,Fluctuating,2 – I can afford only some of these items,16503.0
"Under $15,000",68.0,No,Unstable,2 – I can afford only some of these items,4891.0
"$35,000 to $49,999",29.0,Yes,Unstable,3 – my time fluctuates,41840.0
"$35,000 to $49,999",36.0,No,Fluctuating,2 – I can afford only some of these items,49959.0
"Under $15,000",30.0,No,Unstable,1 – I cannot afford these items,14571.0
"$50,000 to $74,999",27.0,No,Fluctuating,2 – I can afford only some of these items,74723.0
"$15,000 to $24,999",27.0,Yes,Fluctuating,3 – my time fluctuates,22995.0
"$35,000 to $49,999",34.0,Yes,Stable,3 – my time fluctuates,44585.0
"$35,000 to $49,999",58.0,No,Fluctuating,2 – I can afford only some of these items,39901.0
"Under $15,000",47.0,Yes,Unstable,2 – I can afford only some of these items,3788.0
"$15,000 to $24,999",63.0,Yes,Unstable,2 – I can afford only some of these items,23734.0
"$15,000 to $24,999",21.0,No,Unstable,2 – I can afford only some of these items,23386.0
"$15,000 to $24,999",45.0,No,Fluctuating,2 – I can afford only some of these items,21780.0
"Under $15,000",29.0,No,Stable,2 – I can afford only some of these items,10216.0
"$15,000 to $24,999",24.0,Yes,Fluctuating,3 – my time fluctuates,15065.0
"$35,000 to $49,999",50.0,Yes,Fluctuating,2 – I can afford only some of these items,36732.0
"Under $15,000",24.0,No,Unstable,2 – I can afford only some of these items,690.0
"Under $15,000",38.0,No,Unstable,1 – I cannot afford these items,9300.0
"$15,000 to $24,999",28.0,No,Unstable,2 – I can afford only some of these items,15022.0
"Under $15,000",22.0,No,Fluctuating,3 – my time fluctuates,14064.0
"$15,000 to $24,999",28.0,No,Unstable,1 – I cannot afford these items,17800.0
"$15,000 to $24,999",25.0,No,Unstable,2 – I can afford only some of these items,15755.0
"$50,000 to $74,999",71.0,Yes,Fluctuating,3 – my time fluctuates,58185.0
"$15,000 to $24,999",38.0,Yes,Fluctuating,2 – I can afford only some of these items,19790.0
"$15,000 to $24,999",73.0,Yes,Fluctuating,2 – I can afford only some of these items,19340.0
"Under $15,000",28.0,No,Extremely unstable,1 – I cannot afford these items,4877.0
"Under $15,000",36.0,No,Unstable,2 – I can afford only some of these items,6726.0
"$15,000 to $24,999",38.0,Yes,Fluctuating,3 – my time fluctuates,20150.0
"$15,000 to $24,999",30.0,No,Fluctuating,1 – I cannot afford these items,17498.0
"$35,000 to $49,999",32.0,Yes,Unstable,2 – I can afford only some of these items,40132.0
"$50,000 to $74,999",49.0,Yes,Fluctuating,1 – I cannot afford these items,56111.0
"$15,000 to $24,999",22.0,No,Fluctuating,2 – I can afford only some of these items,15835.0
"$15,000 to $24,999",64.0,No,Fluctuating,2 – I can afford only some of these items,24529.0
"Under $15,000",21.0,No,Extremely unstable,2 – I can afford only some of these items,5117.0
"$25,000 to $34,999",72.0,Yes,Fluctuating,3 – my time fluctuates,32802.0
"$15,000 to $24,999",24.0,No,Unstable,2 – I can afford only some of these items,15517.0
"Under $15,000",71.0,Yes,Unstable,2 – I can afford only some of these items,9029.0
"Under $15,000",19.0,No,Extremely unstable,1 – I cannot afford these items,2180.0
"$25,000 to $34,999",35.0,No,Fluctuating,3 – my time fluctuates,31938.0
"$15,000 to $24,999",35.0,No,Unstable,2 – I can afford only some of these items,20989.0
"$15,000 to $24,999",25.0,No,Unstable,1 – I cannot afford these items,15549.0
"$15,000 to $24,999",62.0,No,Fluctuating,2 – I can afford only some of these items,15683.0
"Under $15,000",30.0,No,Extremely unstable,3 – my time fluctuates,9576.0
"Under $15,000",26.0,No,Extremely unstable,1 – I cannot afford these items,462.0
"Under $15,000",44.0,No,Extremely unstable,1 – I cannot afford these items,1053.0
"$50,000 to $74,999",28.0,Yes,Fluctuating,3 – my time fluctuates,51973.0
"Under $15,000",43.0,No,Extremely unstable,2 – I can afford only some of these items,14410.0
"$15,000 to $24,999",29.0,No,Extremely unstable,1 – I cannot afford these items,15655.0
"$35,000 to $49,999",34.0,Yes,Fluctuating,2 – I can afford only some of these items,41086.0
"Under $15,000",63.0,Yes,Fluctuating,3 – my time fluctuates,10907.0
"$15,000 to $24,999",29.0,No,Unstable,2 – I can afford only some of these items,17726.0
"Under $15,000",23.0,No,Fluctuating,1 – I cannot afford these items,4811.0
"$15,000 to $24,999",46.0,Yes,Unstable,2 – I can afford only some of these items,16499.0
"Under $15,000",34.0,No,Unstable,2 – I can afford only some of these items,7706.0
"$25,000 to $34,999",26.0,No,Extremely unstable,1 – I cannot afford these items,33680.0
"$25,000 to $34,999",50.0,No,Unstable,3 – my time fluctuates,25024.0
"$25,000 to $34,999",33.0,No,Unstable,2 – I can afford only some of these items,31272.0
"Under $15,000",27.0,No,Fluctuating,2 – I can afford only some of these items,10211.0
"Under $15,000",58.0,Yes,Unstable,3 – my time fluctuates,5684.0
"$15,000 to $24,999",36.0,No,Unstable,2 – I can afford only some of these items,21399.0
"$15,000 to $24,999",30.0,Yes,Unstable,2 – I can afford only some of these items,15118.0
"Under $15,000",68.0,Yes,Extremely unstable,2 – I can afford only some of these items,997.0
"$25,000 to $34,999",32.0,No,Fluctuating,1 – I cannot afford these items,29491.0
"$25,000 to $34,999",35.0,No,Unstable,1 – I cannot afford these items,34265.0
"Under $15,000",22.0,No,Extremely unstable,2 – I can afford only some of these items,7552.0
"Under $15,000",26.0,Yes,Fluctuating,3 – my time fluctuates,10982.0
"$15,000 to $24,999",42.0,No,Extremely unstable,1 – I cannot afford these items,22300.0
"Under $15,000",27.0,Yes,Extremely unstable,1 – I cannot afford these items,1158.0
"$15,000 to $24,999",28.0,No,Unstable,2 – I can afford only some of these items,24259.0
"$25,000 to $34,999",34.0,Yes,Unstable,2 – I can afford only some of these items,32288.0
"Under $15,000",31.0,No,Fluctuating,2 – I can afford only some of these items,9024.0
"Under $15,000",24.0,No,Fluctuating,2 – I can afford only some of these items,10131.0
"Under $15,000",26.0,No,Unstable,2 – I can afford only some of these items,2308.0
"$15,000 to $24,999",26.0,Yes,Fluctuating,2 – I can afford only some of these items,18966.0
"$15,000 to $24,999",36.0,No,Extremely unstable,1 – I cannot afford these items,17048.0
"Under $15,000",21.0,No,Unstable,3 – my time fluctuates,261.0
"Under $15,000",41.0,No,Extremely unstable,1 – I cannot afford these items,9494.0
"$15,000 to $24,999",23.0,Yes,Unstable,3 – my time fluctuates,22514.0
"Under $15,000",30.0,No,Unstable,1 – I cannot afford these items,14792.0
"Under $15,000",25.0,Yes,Fluctuating,2 – I can afford only some of these items,6384.0
"Under $15,000",31.0,No,Extremely unstable,2 – I can afford only some of these items,6034.0
"$25,000 to $34,999",71.0,Yes,Extremely unstable,2 – I can afford only some of these items,25014.0
"$15,000 to $24,999",42.0,No,Unstable,1 – I cannot afford these items,15065.0
"Under $15,000",78.0,No,Unstable,2 – I can afford only some of these items,10499.0
"$25,000 to $34,999",27.0,Yes,Stable,5 – I have more than enough to afford materials,33009.0
"Under $15,000",23.0,Yes,Unstable,2 – I can afford only some of these items,5483.0
"$50,000 to $74,999",35.0,Yes,Stable,3 – my time fluctuates,74094.0
"$35,000 to $49,999",32.0,Yes,Fluctuating,2 – I can afford only some of these items,43439.0
"$35,000 to $49,999",34.0,Yes,Fluctuating,3 – my time fluctuates,47726.0
"$35,000 to $49,999",50.0,Yes,Fluctuating,4 – I can afford these items,49984.0
"Under $15,000",45.0,No,Extremely unstable,1 – I cannot afford these items,14531.0
"$15,000 to $24,999",30.0,No,Extremely unstable,1 – I cannot afford these items,24521.0
"$35,000 to $49,999",24.0,Yes,Fluctuating,2 – I can afford only some of these items,47822.0
"$35,000 to $49,999",24.0,No,Unstable,1 – I cannot afford these items,42538.0
"$75,000 to $99,999",40.0,Yes,Unstable,2 – I can afford only some of these items,88570.0
"$15,000 to $24,999",40.0,Yes,Fluctuating,3 – my time fluctuates,20925.0
"$15,000 to $24,999",36.0,No,Extremely unstable,3 – my time fluctuates,23097.0
"$25,000 to $34,999",86.0,No,Extremely unstable,1 – I cannot afford these items,30717.0
