id,lgbtqiap
SG4VD893IQ,I prefer not to answer  
Y7UQ4JUYZK,No  
69SPAQM5ST,No  
BZRY299VQY,Yes  
5DH1MMF2TK,No  
1S065MWQKC,Yes  
5N8YIAJZE3,Yes  
KED4U91HGK,No  
WDTIIY4SFN,No  
SF8LT96JW0,No  
O6JQKIQMTF,Yes  
QRBMMTCSOD,No  
IM1Q9H9AF6,Yes  
BPV8MY7T71,Yes  
MEZF5PB0V3,Yes  
EDPP09DHT5,No  
9LHAYPQ0V0,No  
N050TKDSIB,No  
BMS30XH4ZJ,Yes  
CSRW50LFLD,Yes  
BDNM2B1NE0,No  
VK0Q0D1B9M,Yes  
VE6Z67QJRI,Yes  
QY5XYSD6BC,Yes  
