earning_mode,household_income_2021,debt,age,income
Contracts or Temporary Jobs,"Under $15,000",Yes,27.0,2119.0
One or More Part-time Jobs,"Under $15,000",No,18.0,89.0
Contracts or Temporary Jobs,"Under $15,000",Yes,0.0,3958.0
One or More Part-time Jobs,"Under $15,000",Yes,0.0,5457.0
Unemployed,"Under $15,000",Yes,29.0,2669.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,23.0,27585.0
One or More Part-time Jobs,"$25,000 to $34,999",No,23.0,32258.0
Fulltime Job,"$25,000 to $34,999",Yes,46.0,32738.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,29.0,20504.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,29.0,17163.0
Fulltime Job,"$35,000 to $49,999",Yes,25.0,44346.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,25.0,44338.0
One or More Part-time Jobs,"Under $15,000",Yes,22.0,13083.0
Unemployed,"$50,000 to $74,999",Yes,26.0,55391.0
Family Support,"$50,000 to $74,999",Yes,26.0,66214.0
Art Practice,"Under $15,000",No,35.0,2550.0
Contracts or Temporary Jobs,"Under $15,000",No,35.0,1273.0
Unemployed,"$15,000 to $24,999",Yes,27.0,17136.0
Family Support,"$15,000 to $24,999",Yes,27.0,15442.0
Fulltime Job,"$50,000 to $74,999",Yes,30.0,64377.0
Unemployed,"Under $15,000",No,23.0,4025.0
Contracts or Temporary Jobs,"Under $15,000",Yes,30.0,4425.0
One or More Part-time Jobs,"Under $15,000",Yes,30.0,12558.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,39.0,22489.0
Other,"$15,000 to $24,999",Yes,51.0,23631.0
Unemployed,"$25,000 to $34,999",No,25.0,29360.0
Unemployed,"Under $15,000",Yes,25.0,4635.0
Unemployed,"$35,000 to $49,999",Yes,36.0,48549.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,36.0,46916.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,36.0,18758.0
Family Support,"Under $15,000",Yes,31.0,8278.0
Art Practice,"Under $15,000",Yes,31.0,4168.0
One or More Part-time Jobs,"Under $15,000",Yes,31.0,8634.0
Unemployed,"$25,000 to $34,999",Yes,22.0,30245.0
Art Practice,"$25,000 to $34,999",Yes,22.0,32000.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,22.0,28418.0
Unemployed,"$15,000 to $24,999",Yes,32.0,15012.0
Unemployed,"$25,000 to $34,999",Yes,30.0,32752.0
Other,"Under $15,000",Yes,79.0,9475.0
Unemployed,"Under $15,000",Yes,31.0,153.0
Contracts or Temporary Jobs,"Under $15,000",Yes,30.0,2657.0
Family Support,"$25,000 to $34,999",No,19.0,28633.0
One or More Part-time Jobs,"$25,000 to $34,999",No,19.0,25968.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,34.0,34338.0
Contracts or Temporary Jobs,"Under $15,000",Yes,31.0,11128.0
Unemployed,"$25,000 to $34,999",Yes,36.0,31206.0
Art Practice,"$25,000 to $34,999",Yes,36.0,33864.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,36.0,29996.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,36.0,29345.0
Art Practice,"Under $15,000",Yes,27.0,11541.0
Contracts or Temporary Jobs,"Under $15,000",Yes,27.0,12263.0
Contracts or Temporary Jobs,"Under $15,000",No,32.0,7852.0
Contracts or Temporary Jobs,"$35,000 to $49,999",No,27.0,41879.0
Other,"$35,000 to $49,999",No,27.0,39365.0
Art Practice,"$35,000 to $49,999",Yes,24.0,37638.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,24.0,42896.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,24.0,45136.0
One or More Part-time Jobs,"$25,000 to $34,999",No,22.0,30807.0
Unemployed,"$50,000 to $74,999",Yes,24.0,56581.0
One or More Part-time Jobs,"$15,000 to $24,999",Prefer not to answer ,53.0,20576.0
One or More Part-time Jobs,"Under $15,000",No,19.0,2126.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,24.0,40571.0
Unemployed,"$15,000 to $24,999",Yes,31.0,18011.0
Art Practice,"$15,000 to $24,999",Yes,31.0,20444.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,35.0,31049.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,35.0,25962.0
One or More Part-time Jobs,"$15,000 to $24,999",No,26.0,20138.0
Other,"$15,000 to $24,999",No,26.0,16911.0
Unemployed,"$15,000 to $24,999",No,36.0,21726.0
Other,"Under $15,000",Yes,20.0,12105.0
Unemployed,"Under $15,000",Yes,23.0,5329.0
Family Support,"Under $15,000",Yes,23.0,14374.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,21.0,15275.0
Unemployed,"Under $15,000",Yes,27.0,9159.0
Contracts or Temporary Jobs,"Under $15,000",Yes,27.0,14427.0
Unemployed,"$15,000 to $24,999",Yes,28.0,21594.0
Family Support,"$15,000 to $24,999",Yes,28.0,15805.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,28.0,21560.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,27.0,32073.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,27.0,34930.0
Other,"$15,000 to $24,999",No,49.0,23133.0
Unemployed,"$50,000 to $74,999",Yes,24.0,74135.0
Family Support,"$50,000 to $74,999",Yes,24.0,73331.0
One or More Part-time Jobs,"$15,000 to $24,999",No,24.0,18469.0
Unemployed,"Under $15,000",No,23.0,11713.0
Family Support,"Under $15,000",No,23.0,1979.0
Contracts or Temporary Jobs,"Under $15,000",No,23.0,13077.0
Fulltime Job,"$50,000 to $74,999",Yes,30.0,57903.0
Unemployed,"Under $15,000",Yes,24.0,3901.0
Contracts or Temporary Jobs,"Under $15,000",Yes,24.0,13827.0
Unemployed,"Under $15,000",No,59.0,10412.0
Contracts or Temporary Jobs,"Under $15,000",Yes,33.0,7137.0
One or More Part-time Jobs,"Under $15,000",Yes,33.0,11689.0
Family Support,"Under $15,000",Yes,25.0,14205.0
Art Practice,"Under $15,000",Yes,25.0,11629.0
Unemployed,"Under $15,000",No,58.0,7573.0
Family Support,"Under $15,000",Yes,21.0,11846.0
One or More Part-time Jobs,"Under $15,000",Yes,21.0,9438.0
Unemployed,"$15,000 to $24,999",Yes,40.0,20210.0
Art Practice,"$15,000 to $24,999",Yes,40.0,22624.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,40.0,19193.0
Unemployed,"Under $15,000",Yes,28.0,6737.0
Art Practice,"Under $15,000",Yes,28.0,8901.0
Other,"Under $15,000",Yes,28.0,961.0
Unemployed,"$25,000 to $34,999",Yes,28.0,31004.0
Art Practice,"$25,000 to $34,999",Yes,28.0,29281.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,63.0,23818.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,28.0,15387.0
Unemployed,"Under $15,000",No,22.0,12875.0
Family Support,"Under $15,000",No,22.0,1723.0
Art Practice,"Under $15,000",No,22.0,822.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,33.0,40006.0
One or More Part-time Jobs,"$15,000 to $24,999",Prefer not to answer ,19.0,22029.0
Other,"Under $15,000",Yes,26.0,13145.0
One or More Part-time Jobs,"Under $15,000",Yes,31.0,10035.0
Other,"$25,000 to $34,999",Yes,76.0,31961.0
Unemployed,"Under $15,000",Yes,30.0,1997.0
Contracts or Temporary Jobs,"Under $15,000",Yes,30.0,6132.0
Unemployed,"Under $15,000",Yes,30.0,1529.0
Contracts or Temporary Jobs,"Under $15,000",Yes,30.0,10022.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,30.0,33685.0
Fulltime Job,"$15,000 to $24,999",Yes,24.0,24493.0
One or More Part-time Jobs,"$25,000 to $34,999",No,31.0,30943.0
One or More Part-time Jobs,"Under $15,000",Yes,34.0,13360.0
Fulltime Job,"$50,000 to $74,999",Yes,36.0,65833.0
Art Practice,"$50,000 to $74,999",Yes,38.0,74908.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,35.0,31203.0
Fulltime Job,"$15,000 to $24,999",Yes,23.0,22675.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,23.0,19359.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,23.0,15391.0
Unemployed,"Under $15,000",Yes,24.0,2695.0
Family Support,"Under $15,000",Yes,24.0,6321.0
Contracts or Temporary Jobs,"Under $15,000",Yes,24.0,13753.0
Art Practice,"$15,000 to $24,999",Yes,26.0,23690.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,26.0,21196.0
One or More Part-time Jobs,"$50,000 to $74,999",No,20.0,56277.0
Art Practice,"$15,000 to $24,999",Yes,32.0,15979.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,26.0,22190.0
Unemployed,"Under $15,000",Yes,22.0,738.0
Contracts or Temporary Jobs,"Under $15,000",Yes,22.0,6890.0
Other,"Under $15,000",Yes,22.0,4454.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Prefer not to answer ,47.0,33061.0
Art Practice,"$50,000 to $74,999",Yes,48.0,73964.0
Contracts or Temporary Jobs,"Under $15,000",Yes,29.0,5286.0
Unemployed,"$35,000 to $49,999",Yes,26.0,41849.0
Family Support,"$35,000 to $49,999",Yes,26.0,37886.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,37.0,29947.0
Unemployed,"Under $15,000",Yes,31.0,10032.0
Unemployed,"$15,000 to $24,999",No,25.0,21999.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,25.0,24169.0
Art Practice,"Under $15,000",Yes,32.0,13641.0
Art Practice,"Under $15,000",No,52.0,12374.0
Contracts or Temporary Jobs,"Under $15,000",No,23.0,2519.0
Unemployed,"Under $15,000",No,31.0,9209.0
Contracts or Temporary Jobs,"Under $15,000",No,31.0,404.0
Other,"Under $15,000",No,31.0,160.0
Fulltime Job,"$50,000 to $74,999",Yes,32.0,50594.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,34.0,22717.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,34.0,18351.0
Family Support,"$25,000 to $34,999",Yes,28.0,31341.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,28.0,26821.0
Unemployed,"$35,000 to $49,999",Yes,50.0,39549.0
Art Practice,"$35,000 to $49,999",Yes,50.0,41468.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,67.0,21491.0
Fulltime Job,"Under $15,000",Yes,22.0,8003.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,43.0,33549.0
Unemployed,"Under $15,000",Yes,28.0,5232.0
Contracts or Temporary Jobs,"Under $15,000",Yes,28.0,11091.0
One or More Part-time Jobs,"Under $15,000",Yes,28.0,4581.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,25.0,23436.0
Other,"Under $15,000",No,20.0,11425.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,31.0,46896.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,31.0,45259.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,27.0,20388.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,27.0,23158.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,27.0,28459.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,27.0,32034.0
Unemployed,"Under $15,000",Yes,40.0,6489.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,29.0,16532.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,24.0,26471.0
Unemployed,"Under $15,000",No,23.0,721.0
Art Practice,"Under $15,000",No,23.0,3185.0
Art Practice,"$25,000 to $34,999",Yes,36.0,32007.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,36.0,26583.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,22.0,19099.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,30.0,15572.0
Contracts or Temporary Jobs,"Under $15,000",No,31.0,14159.0
Art Practice,"$15,000 to $24,999",Yes,33.0,22030.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,33.0,24313.0
One or More Part-time Jobs,"Under $15,000",No,32.0,593.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,30.0,28285.0
Family Support,"Under $15,000",Yes,21.0,2003.0
Fulltime Job,"Under $15,000",Yes,21.0,330.0
Unemployed,"$15,000 to $24,999",Yes,30.0,22304.0
Art Practice,"$15,000 to $24,999",Yes,30.0,21300.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,30.0,19097.0
Family Support,"Under $15,000",Yes,23.0,12152.0
Contracts or Temporary Jobs,"Under $15,000",Yes,23.0,6445.0
Fulltime Job,"$50,000 to $74,999",Yes,29.0,58725.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,29.0,67971.0
One or More Part-time Jobs,"$50,000 to $74,999",Yes,29.0,71182.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,23.0,17770.0
Fulltime Job,"$35,000 to $49,999",Yes,26.0,41615.0
Unemployed,"$15,000 to $24,999",Yes,28.0,15765.0
Art Practice,"$15,000 to $24,999",Yes,28.0,24587.0
Fulltime Job,"Under $15,000",Yes,33.0,12589.0
Contracts or Temporary Jobs,"Under $15,000",Yes,33.0,13239.0
Fulltime Job,"$75,000 to $99,999",Yes,36.0,90017.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,33.0,27066.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,33.0,26671.0
Unemployed,"Under $15,000",Yes,43.0,557.0
Contracts or Temporary Jobs,"Under $15,000",Yes,43.0,4047.0
Unemployed,"Under $15,000",Yes,23.0,9640.0
Unemployed,"$15,000 to $24,999",Yes,27.0,22636.0
Unemployed,"Under $15,000",Yes,34.0,8106.0
Contracts or Temporary Jobs,"Under $15,000",Yes,34.0,14772.0
Other,"Under $15,000",Yes,34.0,1766.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,30.0,22253.0
One or More Part-time Jobs,"$15,000 to $24,999",No,30.0,21381.0
Art Practice,"$25,000 to $34,999",Prefer not to answer ,23.0,32191.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,39.0,43333.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,39.0,35744.0
Unemployed,"Under $15,000",No,27.0,12371.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,24.0,20226.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,24.0,19959.0
One or More Part-time Jobs,"Under $15,000",Yes,21.0,235.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,31.0,21257.0
One or More Part-time Jobs,"$15,000 to $24,999",No,21.0,17368.0
Art Practice,"$15,000 to $24,999",Prefer not to answer ,36.0,17663.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Prefer not to answer ,36.0,18389.0
Unemployed,"$25,000 to $34,999",Yes,28.0,32559.0
Art Practice,"$25,000 to $34,999",Yes,28.0,28203.0
Unemployed,"Under $15,000",No,23.0,3957.0
Art Practice,"Under $15,000",No,23.0,790.0
Other,"Under $15,000",No,23.0,12656.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,28.0,59613.0
Other,"$50,000 to $74,999",Yes,28.0,60364.0
Unemployed,"$15,000 to $24,999",Yes,36.0,22837.0
Art Practice,"$15,000 to $24,999",Yes,36.0,22041.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,36.0,22132.0
Unemployed,"$15,000 to $24,999",Yes,39.0,19391.0
Art Practice,"$15,000 to $24,999",Yes,39.0,20201.0
Unemployed,"Under $15,000",Prefer not to answer ,24.0,14579.0
Family Support,"Under $15,000",Prefer not to answer ,24.0,1642.0
Contracts or Temporary Jobs,"Under $15,000",Prefer not to answer ,24.0,4827.0
Other,"Under $15,000",Prefer not to answer ,24.0,7841.0
Unemployed,"Under $15,000",Yes,35.0,8305.0
Unemployed,"$15,000 to $24,999",No,58.0,20551.0
Unemployed,"Under $15,000",Yes,33.0,11158.0
Family Support,"Under $15,000",Yes,33.0,8736.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,22.0,16773.0
One or More Part-time Jobs,"$15,000 to $24,999",No,22.0,15610.0
Unemployed,"$15,000 to $24,999",No,54.0,17079.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,54.0,22372.0
Unemployed,"$25,000 to $34,999",Yes,39.0,30886.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,39.0,28858.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,32.0,29809.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,27.0,19311.0
Art Practice,"Under $15,000",Yes,24.0,10010.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,34.0,21183.0
Unemployed,"Under $15,000",Yes,40.0,3935.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,37.0,35552.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,37.0,49348.0
One or More Part-time Jobs,"Under $15,000",Yes,24.0,11190.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,25.0,20359.0
Family Support,"Under $15,000",Yes,41.0,2542.0
Contracts or Temporary Jobs,"Under $15,000",Yes,41.0,12549.0
One or More Part-time Jobs,"$35,000 to $49,999",No,37.0,46158.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,32.0,33527.0
Unemployed,"Under $15,000",Yes,21.0,2415.0
Unemployed,"$35,000 to $49,999",Yes,28.0,39377.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,24.0,16962.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,35.0,57841.0
Unemployed,"Under $15,000",Yes,37.0,2223.0
Family Support,"Under $15,000",Yes,37.0,13896.0
Art Practice,"Under $15,000",Yes,37.0,12652.0
Fulltime Job,"$35,000 to $49,999",Yes,28.0,45461.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,28.0,45920.0
Fulltime Job,"$25,000 to $34,999",Yes,28.0,27580.0
Unemployed,"Under $15,000",Yes,53.0,11799.0
Unemployed,"Under $15,000",Yes,29.0,1533.0
Art Practice,"Under $15,000",Yes,29.0,5783.0
One or More Part-time Jobs,"$15,000 to $24,999",No,23.0,22818.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,27.0,43273.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,35.0,18665.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,35.0,22136.0
One or More Part-time Jobs,"Under $15,000",Yes,25.0,1228.0
Unemployed,"Under $15,000",Yes,26.0,2379.0
Contracts or Temporary Jobs,"Under $15,000",Yes,26.0,14797.0
Unemployed,"Under $15,000",No,20.0,6850.0
Art Practice,"Under $15,000",No,20.0,1285.0
Unemployed,"$15,000 to $24,999",Yes,24.0,23591.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,24.0,15301.0
Fulltime Job,"Under $15,000",Yes,26.0,3826.0
Art Practice,"$50,000 to $74,999",Yes,36.0,67797.0
One or More Part-time Jobs,"Under $15,000",No,22.0,3094.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,33.0,30113.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,48.0,69035.0
One or More Part-time Jobs,"$50,000 to $74,999",Yes,48.0,58923.0
Other,"Under $15,000",Yes,22.0,13938.0
Unemployed,"Under $15,000",Yes,29.0,6195.0
Contracts or Temporary Jobs,"Under $15,000",Yes,29.0,14272.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,38.0,18600.0
One or More Part-time Jobs,"Under $15,000",Yes,30.0,4278.0
Fulltime Job,"$15,000 to $24,999",Yes,32.0,15550.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,32.0,18003.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,26.0,64894.0
Unemployed,"$25,000 to $34,999",Yes,64.0,34680.0
Family Support,"$25,000 to $34,999",Yes,64.0,33425.0
Art Practice,"$25,000 to $34,999",Yes,64.0,28945.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,64.0,27227.0
Family Support,"Under $15,000",No,22.0,12560.0
Contracts or Temporary Jobs,"Under $15,000",No,22.0,8361.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,62.0,40476.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,62.0,45288.0
Art Practice,"$50,000 to $74,999",Yes,33.0,54625.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,33.0,54002.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,24.0,34413.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,30.0,17450.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,30.0,19409.0
Contracts or Temporary Jobs,"Under $15,000",Yes,31.0,10309.0
Unemployed,"Under $15,000",No,39.0,9889.0
Family Support,"Under $15,000",No,39.0,14623.0
Fulltime Job,"$15,000 to $24,999",Yes,29.0,18379.0
Unemployed,"Under $15,000",Yes,43.0,2838.0
Unemployed,"$15,000 to $24,999",Yes,32.0,24138.0
Family Support,"$15,000 to $24,999",Yes,32.0,23592.0
Art Practice,"$15,000 to $24,999",Yes,32.0,21089.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,21.0,24322.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,31.0,30392.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,31.0,34960.0
Unemployed,"Under $15,000",Yes,27.0,14092.0
Family Support,"Under $15,000",Yes,27.0,209.0
Art Practice,"Under $15,000",Yes,27.0,12417.0
Art Practice,"Under $15,000",No,39.0,9790.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Prefer not to answer ,28.0,20724.0
One or More Part-time Jobs,"Under $15,000",Yes,21.0,2444.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,34.0,31362.0
Fulltime Job,"$35,000 to $49,999",Yes,25.0,48524.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,25.0,41095.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,25.0,44537.0
Family Support,"$15,000 to $24,999",No,29.0,20568.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,29.0,21812.0
One or More Part-time Jobs,"$15,000 to $24,999",No,29.0,20276.0
Unemployed,"$15,000 to $24,999",Yes,31.0,19859.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,31.0,20237.0
Unemployed,"Under $15,000",No,22.0,14893.0
Art Practice,"Under $15,000",No,34.0,10943.0
Unemployed,"Under $15,000",No,24.0,11134.0
Art Practice,"Under $15,000",No,24.0,5965.0
Unemployed,"$15,000 to $24,999",Prefer not to answer ,37.0,15169.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Prefer not to answer ,37.0,23833.0
Fulltime Job,"$15,000 to $24,999",Yes,27.0,18934.0
Fulltime Job,"$35,000 to $49,999",Yes,33.0,38391.0
Unemployed,"$15,000 to $24,999",Yes,27.0,24104.0
Unemployed,"$15,000 to $24,999",Yes,35.0,16113.0
Family Support,"$15,000 to $24,999",Yes,35.0,16856.0
Art Practice,"$15,000 to $24,999",Yes,35.0,18439.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,35.0,20450.0
Art Practice,"$15,000 to $24,999",Yes,32.0,20767.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,32.0,20420.0
Unemployed,"Under $15,000",Yes,30.0,10130.0
One or More Part-time Jobs,"Under $15,000",Yes,30.0,6944.0
Art Practice,"Under $15,000",No,19.0,3803.0
Contracts or Temporary Jobs,"Under $15,000",No,19.0,1296.0
Unemployed,"Under $15,000",No,32.0,7026.0
Art Practice,"Under $15,000",No,32.0,3568.0
Contracts or Temporary Jobs,"Under $15,000",No,32.0,13005.0
Fulltime Job,"$15,000 to $24,999",Yes,31.0,24904.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,21.0,18235.0
One or More Part-time Jobs,"$15,000 to $24,999",No,21.0,22974.0
Unemployed,"$35,000 to $49,999",Yes,24.0,46537.0
Family Support,"$35,000 to $49,999",Yes,24.0,49757.0
Art Practice,"$35,000 to $49,999",Yes,24.0,45115.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,24.0,48504.0
Unemployed,"$15,000 to $24,999",Yes,31.0,22120.0
Art Practice,"$15,000 to $24,999",Yes,31.0,21795.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,53.0,30894.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,53.0,31515.0
Unemployed,"Under $15,000",Yes,58.0,9082.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,27.0,17722.0
Fulltime Job,"Under $15,000",Yes,25.0,6987.0
Contracts or Temporary Jobs,"Under $15,000",Yes,25.0,6595.0
